NAME_E,area,ha
Lax Kwaxl/Dundas And Melville Islands Conservancy,234917065.366806,23491.70653668061
Hotsprings-No Name Creek Conservancy,227625286.46066,22762.52864606595
Monashee Park,226652108.834686,22665.210883468604
West Twin Park,223203425.081779,22320.3425081779
Monckton Nii Luutiksm Conservancy,221924638.254095,22192.46382540947
Cummins Lakes Park,218265811.852078,21826.581185207753
Atna River Park,211057506.437712,21105.750643771225
Stuart River Park,210275709.972753,21027.570997275307
Nuntsi Park,205851379.324714,20585.137932471385
Sugarbowl-Grizzly Den Park,203189838.005201,20318.98380052011
Bishop River Park,197576536.460787,19757.653646078707
Chukachida Protected Area,196294618.173839,19629.4618173839
Upper Lillooet Park,195218586.008516,19521.858600851585
Dunn Peak Park,194391027.213501,19439.102721350053
Marble Range Park,192354482.514787,19235.448251478694
Nation Lakes Park,188754050.888366,18875.405088836636
Q'Altanaas/Aaltanhash Conservancy,187880891.525276,18788.089152527613
Koeye Conservancy,187441271.90375,18744.127190374966
Calvert Island Conservancy,185681425.204997,18568.142520499685
K'Lgaan/Klekane Conservancy,183834272.36529,18383.427236529024
Tuya Mountains Park,180123807.935382,18012.380793538177
Elk Lakes Park,180104895.206221,18010.489520622115
Finger-Tatuk Park,171453810.128606,17145.38101286061
Cape Scott Park,171124674.096357,17112.467409635745
Lax Ka'Gaas/Campania Conservancy,170882079.232742,17088.207923274156
Neneikekh/Nanika-Kidprice Park,170151039.366681,17015.10393666811
Wapiti Lake Park,168368128.130128,16836.812813012773
Thinahtea South Protected Area,167092425.345701,16709.242534570054
Pitman River Protected Area,163675900.414612,16367.590041461193
Carmanah Walbran Park,163644831.456003,16364.483145600283
Columbia Wetlands Wildlife Management Area,163030958.906752,16303.095890675206
Tlall Conservancy,162093951.948233,16209.395194823292
Dune Za Keyih Protected Area (A.K.A. Frog-Gataga Protected Area),160584388.001524,16058.438800152448
Ningunsaw Park,157145954.657789,15714.595465778904
Kluskoil Lake Park,156972904.222535,15697.290422253502
Lac Du Bois Grasslands Protected Area,156774447.558564,15677.444755856353
Banks Nii Luutiksm Conservancy,155932045.60971,15593.204560971024
Babine River Corridor Park,153714216.239381,15371.421623938104
Midge Creek Wildlife Management Area,148449205.98708,14844.920598708037
Outer Central Coast Islands Conservancy,148098105.240518,14809.810524051842
K'Mooda/Lowe-Gamble Conservancy,144648925.991466,14464.89259914657
Arctic Pacific Lakes Park,138950026.52399,13895.002652398976
Gitxaala Nii Luutiksm/Kitkatla Conservancy,138249050.115732,13824.905011573195
Bugaboo Park,138174171.110395,13817.417111039478
Khtada Lake Conservancy,136478684.919288,13647.868491928824
Sutherland River Park,136116290.447805,13611.629044780499
Finlay-Russel Protected Area,135637450.274698,13563.745027469766
Ecstall Headwaters Conservancy,131189571.636503,13118.957163650277
Crab Lake Conservancy,127985385.409792,12798.538540979169
Bearhole Lake Park,127074874.47868,12707.487447867965
Nazko Lake Park,120522447.945995,12052.244794599472
Seven Sisters Protected Area,120153600.557668,12015.360055766836
Graystokes Park,119625494.051956,11962.549405195565
Bonaparte Park,118333782.244605,11833.378224460483
Edge Hills Park,117988579.819343,11798.857981934329
Kianuko Park,116583076.739223,11658.307673922252
Tantalus Park,114253126.440205,11425.312644020463
Upper Soo Conservancy,113123045.782757,11312.304578275656
Ksi Xts'At'Kw/Stagoo Conservancy,113087704.617746,11308.770461774624
Okanagan Mountain Park,112971501.382332,11297.150138233194
Lady Douglas - Don Peninsula Conservancy,112201233.578483,11220.123357848262
Ancient Forest/Chun T'Oh Whudujut Park,111897915.392745,11189.791539274504
Tahsish-Kwois Park,109851441.577838,10985.144157783752
Akamina-Kishinena Park,107521047.195426,10752.10471954261
Upper Seymour River Park,106222434.197632,10622.24341976315
Upper Kimsquit River Conservancy,105927647.015263,10592.764701526328
Birkenhead Lake Park,104471572.188724,10447.157218872419
Khutzeymateen Inlet Conservancy,103678415.250392,10367.84152503923
Namu Conservancy,103216054.027183,10321.605402718258
Willison Creek - Nelson Lake/Sit' Heeni Conservancy,103079805.824038,10307.980582403845
Upper Elaho Valley Conservancy,102613551.47603,10261.355147602979
Ugwiwa'/Cape Caution Conservancy,102453633.571541,10245.363357154125
Ecstall-Spoksuut Conservancy,99189994.0763391,9918.999407633912
Ksgaxl/Stephens Island Conservancy,94494352.5394563,9449.435253945629
Uncha Mountain Red Hills Park,94214335.6713398,9421.433567133976
St. Mary'S Alpine Park,93332002.8991502,9333.200289915023
South Okanagan Grasslands Protected Area,93284557.4158525,9328.455741585252
Great Glacier Park,93136956.4835534,9313.695648355339
Chilliwack Lake Park,92874437.5492412,9287.443754924123
West Twin Protected Area,91321308.9175113,9132.130891751125
Elk Valley Heritage Conservation Area - Mount Broadwood,89644844.106241,8964.484410624105
Europa Lake Conservancy,89467959.9333461,8946.795993334608
Yalakom Park,89410541.2734146,8941.05412734146
Schoen Lake Park,87795837.1217092,8779.583712170923
Top Of The World Park,87455924.1477936,8745.592414779361
Thorsen Creek Conservancy,85059746.8166004,8505.974681660036
Alty Conservancy,84378664.1790793,8437.86641790793
Fred Antoine Park,82329082.7171092,8232.908271710925
Damdochax Protected Area,81402301.0681961,8140.230106819612
Callaghan Conservancy,80872933.6130624,8087.293361306238
Vladimir J. Krajina (Port Chanal) Ecological Reserve,80610134.4774635,8061.013447746347
Yaaguun Suu Conservancy,79702403.2428116,7970.240324281163
Next Creek,78815764.5623829,7881.576456238294
Milligan Hills Park,78279963.7671963,7827.99637671963
Myra - Bellevue Park,78274960.9493733,7827.496094937327
Craig Headwaters Protected Area,75706012.9810207,7570.60129810207
Denetiah Corridor Protected Area,74451786.3020682,7445.178630206823
Catto Creek Conservancy,72491828.1291007,7249.182812910065
Francois Lake Park,72173603.0629508,7217.360306295076
East Side Columbia Lake Wildlife Management Area,71622672.6041145,7162.267260411446
